################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4807277344594535E+01 a         1     0     1     1     1
 -2.0981142703322160E+01 a         2     0     1     1     2
  1.6573755677724751E+00 a         3     0     1     1     3
 -6.5592335432568234E+00 a         4     0     1     1     4
 -1.2254524921165112E+01 a         5     0     1     1     5
  1.8334783488062971E+00 a         6     0     1     1     6
  8.9603729499387175E+00 a         7     0     1     1     7
  1.8312096012872541E+01 a         8     0     1     1     8
 -1.2627855808750720E+01 a         9     0     1     1     9
 -1.6534548396331033E+01 a        10     0     1     1    10
  5.6265251615012488E+00 a        11     0     1     1    11
 -3.5307135209525899E+00 a        12     0     1     1    12
  3.7160264967525627E+01 a        13     0     1     1    13
  5.6925451937929354E+00 a        14     0     1     1    14
  9.9502761498835035E+00 a        15     0     1     1    15
 -5.9453812472783936E+00 a        16     0     2     1     1
 -1.6310842071716174E+01 a        17     0     2     1     2
  6.3298483758846551E+00 a        18     0     2     1     3
 -1.3722706205289263E+01 a        19     0     2     1     4
 -8.7267913512853958E+00 a        20     0     2     1     5
 -8.3851341230498910E+00 a        21     0     2     1     6
  1.4697448127313915E+01 a        22     0     2     1     7
  2.3216700846768079E+00 a        23     0     2     1     8
  1.1890229629101535E+01 a        24     0     2     1     9
 -1.0289111420374081E+01 a        25     0     2     1    10
  1.3100870465115616E+01 a        26     0     2     1    11
 -1.9277614921016198E+01 a        27     0     2     1    12
  1.3069516581699078E+01 a        28     0     2     1    13
 -2.6932862755537382E+01 a        29     0     2     1    14
  1.4960823943946568E+01 a        30     0     2     1    15
  4.7897264598242399E+00 a        31     0     3     1     1
 -1.9381401961107525E+01 a        32     0     3     1     2
  4.3927667146502367E+00 a        33     0     3     1     3
 -2.2703116454178751E+01 a        34     0     3     1     4
 -7.8661332190698010E+00 a        35     0     3     1     5
 -4.8753996851663600E-01 a        36     0     3     1     6
  7.8620664775499307E+00 a        37     0     3     1     7
  2.6451324417958322E-01 a        38     0     3     1     8
  3.6224423402496448E+00 a        39     0     3     1     9
  2.8016922100758515E+00 a        40     0     3     1    10
  8.3473343612340773E+00 a        41     0     3     1    11
 -2.1430623649911514E+01 a        42     0     3     1    12
  8.4728210164488953E+00 a        43     0     3     1    13
 -2.9727014758947217E+01 a        44     0     3     1    14
  1.2209249068957320E+01 a        45     0     3     1    15
 -2.1963492828065663E+00 a        46     0     4     1     1
  1.7565628164222937E+00 a        47     0     4     1     2
  8.3279474029514304E+00 a        48     0     4     1     3
 -3.0161095316790814E+00 a        49     0     4     1     4
 -3.6724768901739426E+00 a        50     0     4     1     5
 -5.8055206491705933E+00 a        51     0     4     1     6
  6.9129692806803911E-01 a        52     0     4     1     7
  1.4545922648226219E+00 a        53     0     4     1     8
  1.8934812948457493E+00 a        54     0     4     1     9
 -5.0443925188448135E+00 a        55     0     4     1    10
  2.4487722206529354E+00 a        56     0     4     1    11
 -4.3230241613536062E+00 a        57     0     4     1    12
