################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   3.0403613564544254E+00   7.7424955654350436E-01   4.0001583107003102E-01
         1          2   0.0000000000000000E+00   3.1558572876695612E+00   6.3354268691644700E-01   3.2190215420026974E-01
         1          3   0.0000000000000000E+00   3.0857137939078845E+00   6.0171703498685636E-01   2.9907078261586345E-01
         1          4   0.0000000000000000E+00   2.9198825465282661E+00   7.4256744954787024E-01   3.8487990917003895E-01
         1          5   0.0000000000000000E+00   3.0367281704187392E+00   6.0794004828468029E-01   3.1031339038482936E-01
         1          6   0.0000000000000000E+00   2.9703486953673202E+00   5.7701491487304468E-01   2.8802808234036226E-01
         1          7   0.0000000000000000E+00   2.7539264131311643E+00   6.9891743882609858E-01   3.6396529398789518E-01
         1          8   0.0000000000000000E+00   2.8724732292840596E+00   5.7264761224067995E-01   2.9426470911802993E-01
         1          9   0.0000000000000000E+00   2.8109640651099386E+00   5.4298402868273066E-01   2.7275319418184080E-01
         1         10   0.0000000000000000E+00   2.5192135514698548E+00   6.3716287523007209E-01   3.3423111503275793E-01
         1         11   0.0000000000000000E+00   2.6397999590125023E+00   5.2267679558726998E-01   2.7137124090720921E-01
         1         12   0.0000000000000000E+00   2.5845325424428953E+00   4.9484340097623875E-01   2.5100132354837240E-01
         1         13   0.0000000000000000E+00   2.1802681676089017E+00   5.4793905306776858E-01   2.9088635373799560E-01
         1         14   0.0000000000000000E+00   2.3028373361430194E+00   4.5038104730713657E-01   2.3781486099169966E-01
         1         15   0.0000000000000000E+00   2.2551832001094296E+00   4.2530060958943927E-01   2.1920679367796639E-01
         1         16   0.0000000000000000E+00   1.6889470921221601E+00   4.1854679406550760E-01   2.2688930568130605E-01
         1         17   0.0000000000000000E+00   1.8114434450207841E+00   3.4527422976398719E-01   1.8778915127409315E-01
         1         18   0.0000000000000000E+00   1.7717776797990934E+00   3.2447610326937448E-01   1.7203500670168476E-01
         1         19   0.0000000000000000E+00   1.0110389496298244E+00   2.4056966486562276E-01   1.3540095588200435E-01
         1         20   0.0000000000000000E+00   1.1224751945592364E+00   1.9989786930929124E-01   1.1489799561747027E-01
         1         21   0.0000000000000000E+00   1.0886763685723018E+00   1.8584823591960911E-01   1.0393307521741602E-01
         1         22   0.0000000000000000E+00   2.7200235571883846E-01   5.3765121680956832E-02   3.2641530951112871E-02
         1         23   0.0000000000000000E+00   3.2450209621771309E-01   4.5102620506303558E-02   2.9071730320406448E-02
         1         24   0.0000000000000000E+00   3.0195707935335497E-01   4.0552226469544470E-02   2.5371515943233572E-02
         1         25   0.0000000000000000E+00   2.7135597167603245E-02   2.6400593589910103E-05   1.7804380380892533E-04
         1         26   0.0000000000000000E+00   1.7313801095602956E-02   6.7079025430970820E-06   4.7164326337990699E-05
         1         27   0.0000000000000000E+00   8.0499685925957097E-03   4.2201726944721956E-06   2.1298391927774528E-05
         1         28   0.0000000000000000E+00   1.2526076893855972E-01   8.5114522183896823E-03   1.1259041197028911E-02
         1         29   0.0000000000000000E+00   9.1866766451685497E-02   1.1023433007768878E-02   7.7715702176947244E-03
         1         30   0.0000000000000000E+00   8.4914568164985174E-02   1.0312659348935476E-02   7.3930321113841874E-03
         1         31   0.0000000000000000E+00   1.5417830540364458E-01   5.6910824647252688E-03   5.9575909451477583E-03
         1         32   0.0000000000000000E+00   7.9559982864507023E-02   9.9071156105557841E-03   7.1360439025698608E-03
         1         33   0.0000000000000000E+00   1.4488456622148313E-01   4.8171028946008537E-03   5.2021784763167152E-03
         1         34   0.0000000000000000E+00   3.4297683591809941E-01   2.3802435135449471E-02   3.0764736013354412E-02
         1         35   0.0000000000000000E+00   2.5398326644433872E-01   3.1059013896860055E-02   2.0687957850742119E-02
         1         36   0.0000000000000000E+00   2.3165437141352974E-01   2.8604329745948443E-02   1.9221398735191533E-02
         1         37   0.0000000000000000E+00   3.9091808802492889E-01   1.5758322621934114E-02   1.4976001309970016E-02
         1         38   0.0000000000000000E+00   2.1583633620127682E-01   2.7660985759325369E-02   1.8655428304341300E-02
         1         39   0.0000000000000000E+00   3.7391063809981956E-01   1.3629636985211231E-02   1.3598658358532535E-02
         1         40   0.0000000000000000E+00   1.0356071438185982E-02   4.6253674924991151E-04   6.6615598866203612E-04
         1         41   0.0000000000000000E+00   8.6572943790601091E-03   6.1897358080755568E-04   5.5249613985224229E-04
         1         42   0.0000000000000000E+00   7.3456544302562213E-03   5.8969462730699344E-04   5.3373236323538825E-04
         1         43   0.0000000000000000E+00   1.3657455471396749E-02   3.2971886107257994E-04   4.3880235371819028E-04
         1         44   0.0000000000000000E+00   8.4350431071422080E-03   5.6385024976088988E-04   5.0374006357257453E-04
         1         45   0.0000000000000000E+00   1.2052587617316089E-02   2.6260439038558144E-04   3.6366627454726357E-04
         1         46   0.0000000000000000E+00   1.2809273023435133E-01   8.2475671619498935E-03   1.0425714834073641E-02
         1         47   0.0000000000000000E+00   1.0164633625018919E-01   1.1017617171481356E-02   7.1958409035256720E-03
         1         48   0.0000000000000000E+00   9.1603357206763644E-02   9.9644521732038440E-03   6.5138222995617173E-03
         1         49   0.0000000000000000E+00   1.4250323316597038E-01   5.4880628021586816E-03   4.9639745113607067E-03
         1         50   0.0000000000000000E+00   8.2089147835366069E-02   9.6323331058218598E-03   6.2173405991995624E-03
         1         51   0.0000000000000000E+00   1.3475832366542034E-01   4.8050784485558105E-03   4.6265630934341348E-03
         1         52   0.0000000000000000E+00   7.2800844051218505E-02   4.7207198782549939E-03   6.3100936073043068E-03
         1         53   0.0000000000000000E+00   5.4624506214278612E-02   6.1412817171066659E-03   4.4645981606142113E-03
         1         54   0.0000000000000000E+00   5.0273457147367084E-02   5.7064200740254674E-03   4.2206839146431410E-03
         1         55   0.0000000000000000E+00   9.1995252961153268E-02   3.1859754977822943E-03   3.4302560989788065E-03
         1         56   0.0000000000000000E+00   4.7802188305107046E-02   5.5148138451084697E-03   4.0908254272011262E-03
         1         57   0.0000000000000000E+00   8.5600949485225022E-02   2.6659107752111562E-03   2.9718585654816528E-03
         1         58   0.0000000000000000E+00   2.0029713984590278E-01   1.3318871971137030E-02   1.7435917220082559E-02
         1         59   0.0000000000000000E+00   1.5168191765590033E-01   1.7444279218104538E-02   1.2066054064806710E-02
         1         60   0.0000000000000000E+00   1.3748620610243370E-01   1.5954821241963884E-02   1.1141052907523560E-02
         1         61   0.0000000000000000E+00   2.3566240939096275E-01   8.9040035707791069E-03   8.7868951327277258E-03
         1         62   0.0000000000000000E+00   1.3085064255262902E-01   1.5539953090618204E-02   1.0864604559423490E-02
         1         63   0.0000000000000000E+00   2.2460405596473565E-01   7.6145022800956242E-03   7.9101648910843113E-03
         1         64   0.0000000000000000E+00   5.6402328255302035E-03   2.1600451789356286E-04   3.1553007642825073E-04
         1         65   0.0000000000000000E+00   4.4806795368923218E-03   2.9412335724780168E-04   2.7171341854763674E-04
         1         66   0.0000000000000000E+00   3.7385282181766023E-03   2.7872641990948118E-04   2.6146823785714235E-04
         1         67   0.0000000000000000E+00   7.2456415238072542E-03   1.5646300643603242E-04   2.1445994669384139E-04
         1         68   0.0000000000000000E+00   4.3639131517162061E-03   2.6544219893912793E-04   2.4398193537724083E-04
         1         69   0.0000000000000000E+00   6.2644019069068883E-03   1.2318473962086388E-04   1.7609473138722903E-04
         1         70   0.0000000000000000E+00   7.1858090754647094E-02   4.4296933322092663E-03   5.6619381666324249E-03
         1         71   0.0000000000000000E+00   5.8269372836316710E-02   5.9374959592033393E-03   4.0128824661217867E-03
         1         72   0.0000000000000000E+00   5.2003808438547849E-02   5.3273188788887597E-03   3.6067313476035130E-03
         1         73   0.0000000000000000E+00   8.2294166435974092E-02   2.9696356333139468E-03   2.7820592165002330E-03
         1         74   0.0000000000000000E+00   4.7420422752941511E-02   5.1820188529370804E-03   3.4511072685316749E-03
         1         75   0.0000000000000000E+00   7.7946726310702735E-02   2.5753518199534203E-03   2.5752787608071342E-03
         1         76   0.0000000000000000E+00   2.3212216367937992E-03   9.9877774358059573E-05   1.4310988404619832E-04
         1         77   0.0000000000000000E+00   1.9545853050748942E-03   1.3769021834208954E-04   1.2579670678601325E-04
         1         78   0.0000000000000000E+00   1.8058626006260529E-03   1.2182693222171930E-04   1.1385266017731442E-04
         1         79   0.0000000000000000E+00   3.5656134634533794E-03   7.3538771903970077E-05   9.5810377339282561E-05
         1         80   0.0000000000000000E+00   1.8937358267124161E-03   1.2228909005068708E-04   1.1012810701202427E-04
         1         81   0.0000000000000000E+00   3.0515079013446293E-03   5.6826928108995379E-05   7.8947674968373946E-05
         1         82   0.0000000000000000E+00   6.7321173300999744E-03   2.9247186115657681E-04   4.1388540255325897E-04
         1         83   0.0000000000000000E+00   5.9111332570029561E-03   4.0338438859713479E-04   3.6258557021981230E-04
         1         84   0.0000000000000000E+00   5.3288539151064226E-03   3.5174621651836108E-04   3.2081145007659720E-04
         1         85   0.0000000000000000E+00   9.9581064180995563E-03   2.1389385004076328E-04   2.6797349159951919E-04
         1         86   0.0000000000000000E+00   5.8721093378839347E-03   3.5768829042870436E-04   3.1298459502044056E-04
         1         87   0.0000000000000000E+00   8.7591404669824287E-03   1.6934447594370134E-04   2.2903031341193832E-04
         1         88   0.0000000000000000E+00   9.6888504314394645E-05   1.1519470390725462E-06   2.0434120409241204E-06
         1         89   0.0000000000000000E+00   7.9883326928490241E-05   1.7257323282431095E-06   2.2054350864342650E-06
         1         90   0.0000000000000000E+00   8.2093651072912124E-05   1.5704999446597904E-06   2.1204382102519088E-06
