################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.2716417152939012E+00 a       117     0     8     1    12
 -1.0506464529815974E+01 a       118     0     8     1    13
 -4.7513365992566170E+00 a       119     0     8     1    14
 -4.9163812360678598E+00 a       120     0     8     1    15
 -1.0911106949881475E+00 a       121     0     9     1     1
  1.6388091779087044E+00 a       122     0     9     1     2
  9.1108759295022468E-01 a       123     0     9     1     3
  9.1123706642845387E-03 a       124     0     9     1     4
  3.4360163981267000E+00 a       125     0     9     1     5
 -4.7475542638942940E+00 a       126     0     9     1     6
 -1.9606763099865241E+00 a       127     0     9     1     7
  8.4708985418029066E+00 a       128     0     9     1     8
 -3.2225053501427943E+00 a       129     0     9     1     9
 -1.1946674306602678E+00 a       130     0     9     1    10
  1.1470836699716701E+01 a       131     0     9     1    11
  3.0936086822871709E+00 a       132     0     9     1    12
 -8.5963053379314971E+00 a       133     0     9     1    13
 -2.7446717750289333E+00 a       134     0     9     1    14
 -1.6561732819991792E+00 a       135     0     9     1    15
 -8.9356670302344288E+00 a       136     0    10     1     1
 -8.2392525233541534E+00 a       137     0    10     1     2
  2.7548575194407223E+00 a       138     0    10     1     3
  9.3877165289142788E+00 a       139     0    10     1     4
  1.6094662712639618E+01 a       140     0    10     1     5
  6.3843259101884344E+00 a       141     0    10     1     6
  2.9214834581584554E+00 a       142     0    10     1     7
  9.3630489629523517E+00 a       143     0    10     1     8
 -2.5707647631841859E+01 a       144     0    10     1     9
 -9.0763293544146020E+00 a       145     0    10     1    10
 -1.9215723513161283E+01 a       146     0    10     1    11
  6.1385122952041886E+00 a       147     0    10     1    12
 -5.3499358821140959E+00 a       148     0    10     1    13
 -5.1112785264977179E+00 a       149     0    10     1    14
 -2.4537518885460736E+00 a       150     0    10     1    15
 -2.1771702949074427E+00 a       151     0    11     1     1
  4.0489291871184410E+00 a       152     0    11     1     2
  1.2726858586885287E+01 a       153     0    11     1     3
  7.3467990666073586E+00 a       154     0    11     1     4
  1.2122658140771495E+01 a       155     0    11     1     5
