################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.9041163337058107E+00 a         1     0     1     1     1
 -4.7849590441006473E+00 a         2     0     1     1     2
  9.3731727494136319E+00 a         3     0     1     1     3
 -1.3582021561448801E+01 a         4     0     1     1     4
  1.3615590619527390E+01 a         5     0     1     1     5
  5.2689923172616897E+00 a         6     0     1     1     6
 -8.0255427957951380E+00 a         7     0     1     1     7
  1.0270610033719608E+01 a         8     0     1     1     8
 -1.6184529927134562E+01 a         9     0     1     1     9
  4.9205949596834149E+00 a        10     0     1     1    10
 -6.8053720678170482E+00 a        11     0     1     1    11
 -5.9385592134717169E-01 a        12     0     1     1    12
  6.5833985705369589E+00 a        13     0     1     1    13
 -1.2099220139261055E+01 a        14     0     1     1    14
 -9.6038401250706134E+00 a        15     0     1     1    15
 -1.7878468730784545E+00 a        16     0     2     1     1
 -1.1241519227209215E+01 a        17     0     2     1     2
  2.6744135107508217E+01 a        18     0     2     1     3
 -2.4924421695763375E+00 a        19     0     2     1     4
  1.3753532279148738E+01 a        20     0     2     1     5
  5.2798132996679721E+00 a        21     0     2     1     6
  9.2282597990626414E+00 a        22     0     2     1     7
  8.7715209598262103E+00 a        23     0     2     1     8
 -7.8497881969819820E+00 a        24     0     2     1     9
  8.8892874983738679E+00 a        25     0     2     1    10
  8.7810367924438726E+00 a        26     0     2     1    11
 -1.5141732772166547E+00 a        27     0     2     1    12
 -7.5475716282188667E+00 a        28     0     2     1    13
 -9.0814644179565072E+00 a        29     0     2     1    14
  1.8532381297799471E+01 a        30     0     2     1    15
  6.8071363825223585E-01 a        31     0     3     1     1
 -6.8703210727226187E+00 a        32     0     3     1     2
  2.1577468714085168E+01 a        33     0     3     1     3
 -8.1405657566929150E+00 a        34     0     3     1     4
  2.1114121532663418E+01 a        35     0     3     1     5
  4.2883586688200257E+00 a        36     0     3     1     6
  1.0384263520370343E+01 a        37     0     3     1     7
 -2.7447164854690440E+00 a        38     0     3     1     8
 -8.6161103113219220E+00 a        39     0     3     1     9
  1.4707083379958720E+01 a        40     0     3     1    10
  9.8948977038424868E+00 a        41     0     3     1    11
