################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.6795492377875874E+01 a         1     0     1     1     1
  2.4318789664164395E+01 a         2     0     1     1     2
  1.2399103879314932E+01 a         3     0     1     1     3
 -4.3532200259320966E+01 a         4     0     1     1     4
 -9.2114768966053457E+00 a         5     0     1     1     5
  3.5369318613517358E+01 a         6     0     1     1     6
  4.7191293622886379E+00 a         7     0     1     1     7
  9.3042435114997861E+00 a         8     0     1     1     8
 -2.0661018594428309E+00 a         9     0     1     1     9
 -4.7522968870117527E-01 a        10     0     1     1    10
  2.5680254493553498E+00 a        11     0     1     1    11
  1.0443691201642443E+01 a        12     0     1     1    12
 -7.3679566108601790E+01 a        13     0     2     1     1
 -1.1844364420575555E+01 a        14     0     2     1     2
  1.5935542353228886E+00 a        15     0     2     1     3
 -3.4080598010431480E+01 a        16     0     2     1     4
 -1.8108264083196397E+02 a        17     0     2     1     5
  1.3777105602644507E+01 a        18     0     2     1     6
 -2.4193736326863462E+00 a        19     0     2     1     7
 -1.1638752358946187E+01 a        20     0     2     1     8
  1.6460353892682800E+01 a        21     0     2     1     9
  9.3234872520327527E-02 a        22     0     2     1    10
  9.4061321279994665E+00 a        23     0     2     1    11
 -2.8016111827227572E+00 a        24     0     2     1    12
 -4.4673516853019848E+00 a        25     0     3     1     1
  2.4022840631387286E+01 a        26     0     3     1     2
  1.3276701367455187E+01 a        27     0     3     1     3
  1.0480448774616296E+01 a        28     0     3     1     4
 -2.2207236802836968E+02 a        29     0     3     1     5
 -5.7906763287600668E+01 a        30     0     3     1     6
  8.8955687099251630E+00 a        31     0     3     1     7
 -2.3221152032934969E+00 a        32     0     3     1     8
  2.5873203182145184E+00 a        33     0     3     1     9
 -4.0283586394896016E+00 a        34     0     3     1    10
  1.3825720936180433E+01 a        35     0     3     1    11
  2.7043559381300861E+00 a        36     0     3     1    12
 -3.1723329038600895E+01 a        37     0     4     1     1
  1.9292490926971574E+01 a        38     0     4     1     2
 -5.4184167176864251E-01 a        39     0     4     1     3
 -2.5143823180287352E+01 a        40     0     4     1     4
  3.5280899915737344E+01 a        41     0     4     1     5
  1.5116199009731739E+01 a        42     0     4     1     6
  4.3571315327733116E+00 a        43     0     4     1     7
  2.1224006523152803E+00 a        44     0     4     1     8
  1.1797832738701646E+00 a        45     0     4     1     9
 -1.9765498055776813E+00 a        46     0     4     1    10
  2.9078685893289569E-01 a        47     0     4     1    11
  5.4507018638485008E+00 a        48     0     4     1    12
 -1.3247565949798281E+01 a        49     0     5     1     1
  2.0251928704978845E+00 a        50     0     5     1     2
 -1.1403368499584642E+01 a        51     0     5     1     3
 -2.3647589312824476E+01 a        52     0     5     1     4
  1.2269708401946113E+02 a        53     0     5     1     5
  1.0561255853373481E+01 a        54     0     5     1     6
  1.2972556935446754E-03 a        55     0     5     1     7
 -4.7546589227961347E+00 a        56     0     5     1     8
  7.2354010835993732E+00 a        57     0     5     1     9
