################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8553320729636334E+02 a         1     0     1     1     1
  5.5202802685392086E+01 a         2     0     1     1     2
 -3.1256607102937934E+01 a         3     0     1     1     3
 -1.4784040314114875E+00 a         4     0     1     1     4
 -4.6994165141827914E+01 a         5     0     1     1     5
  3.8859106699416462E-01 a         6     0     1     1     6
  1.7381277602091682E+01 a         7     0     1     1     7
  2.2905210795569864E+00 a         8     0     1     1     8
  2.1143537724165249E+01 a         9     0     1     1     9
 -1.8344040800679050E+01 a        10     0     1     1    10
  1.8523329472265928E+01 a        11     0     1     1    11
  1.5262893470543874E+01 a        12     0     1     1    12
 -1.0433630322776976E+02 a        13     0     2     1     1
 -2.5214746369444146E+01 a        14     0     2     1     2
 -1.6849122263664309E+01 a        15     0     2     1     3
  8.8016186727797514E+00 a        16     0     2     1     4
  1.8068477963860264E+01 a        17     0     2     1     5
 -6.6940770675594141E+00 a        18     0     2     1     6
 -3.5378001539612047E-01 a        19     0     2     1     7
  6.8878708795225476E+00 a        20     0     2     1     8
  7.0519300881582296E+00 a        21     0     2     1     9
 -7.5908463423543777E+00 a        22     0     2     1    10
  3.4834682237642185E+00 a        23     0     2     1    11
  5.5417289703382366E-01 a        24     0     2     1    12
 -1.3835519583780257E+02 a        25     0     3     1     1
  8.3759710946160464E+00 a        26     0     3     1     2
  2.1145304543612529E+01 a        27     0     3     1     3
 -3.0883019887663124E+01 a        28     0     3     1     4
  2.5136790878258964E+01 a        29     0     3     1     5
  2.0634985613809858E+00 a        30     0     3     1     6
  8.9160176952881027E+00 a        31     0     3     1     7
  1.0158864145844408E+01 a        32     0     3     1     8
 -5.1556983044203237E+00 a        33     0     3     1     9
 -3.0735793607484849E+00 a        34     0     3     1    10
  1.8125687743671197E+00 a        35     0     3     1    11
 -1.0965532617768087E+01 a        36     0     3     1    12
  4.4237515330633123E+01 a        37     0     4     1     1
  4.8420079320828977E+00 a        38     0     4     1     2
 -6.9486625633591537E+00 a        39     0     4     1     3
  9.4362272272516208E+00 a        40     0     4     1     4
 -7.3717940863964714E+01 a        41     0     4     1     5
  1.8388846317520272E+01 a        42     0     4     1     6
  2.0590726043323850E+00 a        43     0     4     1     7
  7.5236266227379345E-01 a        44     0     4     1     8
  2.3400585254433559E+00 a        45     0     4     1     9
 -3.1401467780156964E+00 a        46     0     4     1    10
  4.7118771473036052E+00 a        47     0     4     1    11
  2.0731580190870220E+00 a        48     0     4     1    12
 -1.0646389469387803E+00 a        49     0     5     1     1
 -9.4842912556082499E+00 a        50     0     5     1     2
 -1.0754699141200113E+01 a        51     0     5     1     3
 -3.2358209520733729E+00 a        52     0     5     1     4
 -4.8655188538889959E+01 a        53     0     5     1     5
 -8.0113588006851337E+00 a        54     0     5     1     6
  7.4774675305814708E-01 a        55     0     5     1     7
  8.5917251392292115E-01 a        56     0     5     1     8
  3.0984020720220014E+00 a        57     0     5     1     9
  1.5844289482878060E+00 a        58     0     5     1    10
  1.6328110675788325E+00 a        59     0     5     1    11
 -6.0495817703213328E-01 a        60     0     5     1    12
 -9.8632896349560806E+00 a        61     0     6     1     1
 -1.1847000058787258E-01 a        62     0     6     1     2
  3.8207719497718591E+00 a        63     0     6     1     3
 -6.5683967333543629E+00 a        64     0     6     1     4
  5.0777876748294783E+00 a        65     0     6     1     5
  1.1198622515570007E+01 a        66     0     6     1     6
  3.5435129418468003E+00 a        67     0     6     1     7
  3.6755647173458317E+00 a        68     0     6     1     8
 -1.9183067454894703E-01 a        69     0     6     1     9
 -3.5949349602457305E-02 a        70     0     6     1    10
  2.6971658460787693E+00 a        71     0     6     1    11
 -4.6075955101340069E+00 a        72     0     6     1    12
  1.8266510686567003E+02 a        73     0     7     1     1
 -3.2917512028920385E+01 a        74     0     7     1     2
  1.9491558689499247E+01 a        75     0     7     1     3
  1.2351788227555598E+01 a        76     0     7     1     4
 -1.9707905780042047E+01 a        77     0     7     1     5
  2.2990828077501657E+01 a        78     0     7     1     6
 -1.3262840644127515E+01 a        79     0     7     1     7
 -1.6681536933857866E+00 a        80     0     7     1     8
 -1.4296988671504050E+01 a        81     0     7     1     9
  1.1744198160952722E+01 a        82     0     7     1    10
 -7.8142394526045909E+00 a        83     0     7     1    11
 -9.1074211583237474E+00 a        84     0     7     1    12
  8.6399940178114463E+01 a        85     0     8     1     1
  5.3162559101830151E+00 a        86     0     8     1     2
 -3.9371003625849283E+00 a        87     0     8     1     3
 -1.1936113046856820E+01 a        88     0     8     1     4
 -5.6177680589088595E+01 a        89     0     8     1     5
 -4.2306787060239879E+00 a        90     0     8     1     6
  8.4223450224297003E-01 a        91     0     8     1     7
 -5.2733108827117530E+00 a        92     0     8     1     8
 -1.3263832893438552E+00 a        93     0     8     1     9
  8.2555963263311369E+00 a        94     0     8     1    10
 -4.7650942627796578E-01 a        95     0     8     1    11
 -2.0687057807305123E+00 a        96     0     8     1    12
  1.0832675089827379E+02 a        97     0     9     1     1
 -1.1848656388145175E+01 a        98     0     9     1     2
 -1.0691532844231668E+01 a        99     0     9     1     3
  1.6363939399296687E+01 a       100     0     9     1     4
 -2.6874441979967600E+01 a       101     0     9     1     5
  1.3590523266063599E+01 a       102     0     9     1     6
 -2.4033805588728430E+00 a       103     0     9     1     7
 -3.2836458723170860E+00 a       104     0     9     1     8
  4.4240924741575496E+00 a       105     0     9     1     9
  2.2816513227453306E+00 a       106     0     9     1    10
  2.6083469564767099E+00 a       107     0     9     1    11
  2.3147464432115994E+00 a       108     0     9     1    12
  1.3404848993637526E+02 a       109     0    10     1     1
 -4.1431991052990604E+01 a       110     0    10     1     2
  3.6591804451347905E+01 a       111     0    10     1     3
  3.1942823198949091E+00 a       112     0    10     1     4
  1.3050591036430171E+02 a       113     0    10     1     5
  1.8773845991978195E+00 a       114     0    10     1     6
 -2.3073341726982349E+01 a       115     0    10     1     7
 -4.5075326321075080E+00 a       116     0    10     1     8
 -2.2191448828032286E+01 a       117     0    10     1     9
  2.0109787288898048E+01 a       118     0    10     1    10
 -1.4793033076816776E+01 a       119     0    10     1    11
 -1.4067826375391993E+01 a       120     0    10     1    12
  1.2011778162433178E+02 a       121     0    11     1     1
  1.4105090030201401E+01 a       122     0    11     1     2
  7.6028373659945059E+00 a       123     0    11     1     3
 -1.0120446027978442E+01 a       124     0    11     1     4
  3.0027278141882867E+01 a       125     0    11     1     5
  9.8872532025729694E+00 a       126     0    11     1     6
 -9.4630822861856589E-01 a       127     0    11     1     7
 -9.8530249222022626E+00 a       128     0    11     1     8
 -5.4583936544628484E+00 a       129     0    11     1     9
  8.0194097909649926E+00 a       130     0    11     1    10
 -2.5706806765976817E+00 a       131     0    11     1    11
 -3.6978459994133641E+00 a       132     0    11     1    12
  1.6394722028077209E+02 a       133     0    12     1     1
 -1.5984701425553000E+01 a       134     0    12     1     2
 -2.2390581589072166E+01 a       135     0    12     1     3
  2.6079298991347613E+01 a       136     0    12     1     4
 -5.7533752119536345E+01 a       137     0    12     1     5
  1.0174789926972153E+01 a       138     0    12     1     6
 -7.9700982344526041E+00 a       139     0    12     1     7
 -9.5304931740311911E+00 a       140     0    12     1     8
  7.0971733576232765E+00 a       141     0    12     1     9
  2.5776141038474178E+00 a       142     0    12     1    10
  3.8226451964990826E-01 a       143     0    12     1    11
  8.5821471717684084E+00 a       144     0    12     1    12
 -1.2499833009783094E+02 a       145     0    13     1     1
 -1.8620225799868260E+00 a       146     0    13     1     2
  2.6097226928272757E+01 a       147     0    13     1     3
 -2.0079763173516412E+01 a       148     0    13     1     4
  2.2074590847761795E+02 a       149     0    13     1     5
 -4.3552295068394301E+01 a       150     0    13     1     6
 -1.3703651911297772E+01 a       151     0    13     1     7
 -4.5247745365731760E+00 a       152     0    13     1     8
 -1.0491133387098808E+01 a       153     0    13     1     9
  7.3025262903189034E+00 a       154     0    13     1    10
 -9.5267716798746882E+00 a       155     0    13     1    11
 -7.8592757099983599E+00 a       156     0    13     1    12
  1.9911200438399778E+01 a       157     0    14     1     1
  1.8613300476350727E+01 a       158     0    14     1     2
  2.1896830806342646E+01 a       159     0    14     1     3
  4.1994398482376960E+00 a       160     0    14     1     4
  1.4784737444890044E+02 a       161     0    14     1     5
  2.0989366895342751E+01 a       162     0    14     1     6
 -4.7364559656723673E+00 a       163     0    14     1     7
 -8.8956129610282115E+00 a       164     0    14     1     8
 -6.8564254329296066E+00 a       165     0    14     1     9
 -4.8798510323064148E+00 a       166     0    14     1    10
 -3.7215569189214572E+00 a       167     0    14     1    11
 -4.4933780337921858E+00 a       168     0    14     1    12
  4.3169183790658224E+01 a       169     0    15     1     1
 -4.7975008715673102E+00 a       170     0    15     1     2
 -1.9792375585869735E+01 a       171     0    15     1     3
  1.1604557498158936E+01 a       172     0    15     1     4
 -2.1009978289020516E+01 a       173     0    15     1     5
 -1.6904178934515489E+01 a       174     0    15     1     6
 -1.0390933825898584E+01 a       175     0    15     1     7
 -1.2073404035590507E+01 a       176     0    15     1     8
  4.8266616237721403E+00 a       177     0    15     1     9
 -6.7508905778011230E-01 a       178     0    15     1    10
 -5.3894535284254763E+00 a       179     0    15     1    11
  1.0843653323136651E+01 a       180     0    15     1    12
 -1.5077195021450490E+02 a       181     0    16     1     1
  2.2976474397100343E+01 a       182     0    16     1     2
 -3.8444843727536664E+01 a       183     0    16     1     3
 -7.7831754868095437E+00 a       184     0    16     1     4
