################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5091300981292191E+01 a         1     0     1     1     1
 -3.5276227318009418E+01 a         2     0     1     1     2
 -1.9851219617275223E+02 a         3     0     1     1     3
  1.1816267506801303E+02 a         4     0     1     1     4
 -7.7302232390502382E+01 a         5     0     1     1     5
  1.5216969450279031E+01 a         6     0     1     1     6
  1.3850044971612139E+00 a         7     0     1     1     7
 -4.3538161538455089E+00 a         8     0     1     1     8
 -3.3441405114502918E+00 a         9     0     1     1     9
 -6.7905060279148632E-01 a        10     0     1     1    10
  1.0761997173082204E+01 a        11     0     1     1    11
 -1.0135934628013324E+01 a        12     0     1     1    12
  2.0136059275234597E+01 a        13     0     2     1     1
 -1.2373718898385684E+01 a        14     0     2     1     2
 -8.8067727965331343E+01 a        15     0     2     1     3
 -1.1661789839263028E+02 a        16     0     2     1     4
 -7.4060840083477785E+01 a        17     0     2     1     5
 -1.3070846721226788E+01 a        18     0     2     1     6
  1.0488137502755647E+01 a        19     0     2     1     7
  9.7215020371692185E-01 a        20     0     2     1     8
 -9.2454045260071105E+00 a        21     0     2     1     9
 -1.0376617844237812E+01 a        22     0     2     1    10
  3.8817054193763108E+00 a        23     0     2     1    11
  3.3107321718454569E-01 a        24     0     2     1    12
 -5.0028174839865542E+00 a        25     0     3     1     1
 -6.6214809450316437E+01 a        26     0     3     1     2
 -3.9351164483551798E+01 a        27     0     3     1     3
 -1.0563427865655893E+02 a        28     0     3     1     4
 -3.5812550826435420E+01 a        29     0     3     1     5
  5.9075202380541700E+00 a        30     0     3     1     6
 -2.9237757631626580E+00 a        31     0     3     1     7
  5.8945612971841506E+00 a        32     0     3     1     8
 -6.5945586992076883E+00 a        33     0     3     1     9
  5.3682439041960635E+00 a        34     0     3     1    10
  3.5496504810855072E+00 a        35     0     3     1    11
  1.7473380196258576E-01 a        36     0     3     1    12
 -4.5794183479395940E+00 a        37     0     4     1     1
  9.4821998521788931E-01 a        38     0     4     1     2
  7.7274970850389650E+01 a        39     0     4     1     3
 -5.4571233054855469E+01 a        40     0     4     1     4
 -1.9859890010583676E+01 a        41     0     4     1     5
  1.0771412288476458E+01 a        42     0     4     1     6
  1.0368812294068686E+00 a        43     0     4     1     7
 -2.3601156873224043E+00 a        44     0     4     1     8
 -5.0249743308661952E+00 a        45     0     4     1     9
 -1.9877671207089740E+00 a        46     0     4     1    10
  2.2890865851623854E+00 a        47     0     4     1    11
 -5.1748933299696676E+00 a        48     0     4     1    12
  3.7537231391475365E+00 a        49     0     5     1     1
  3.0232464491196755E+00 a        50     0     5     1     2
  1.9886543668664288E+01 a        51     0     5     1     3
  1.0173770967049141E+02 a        52     0     5     1     4
 -3.8120336515199298E+01 a        53     0     5     1     5
  3.4995977334759361E+00 a        54     0     5     1     6
  3.7177542097515820E-01 a        55     0     5     1     7
  1.1542068116369675E+00 a        56     0     5     1     8
 -5.7026447325298424E-01 a        57     0     5     1     9
 -1.9879168473217803E+00 a        58     0     5     1    10
  1.2444539983357648E-01 a        59     0     5     1    11
  1.7349960170818441E+00 a        60     0     5     1    12
 -1.0012435648546925E+01 a        61     0     6     1     1
 -1.9355479731072595E+01 a        62     0     6     1     2
 -3.7292766286522863E+00 a        63     0     6     1     3
  1.2499182033783391E+02 a        64     0     6     1     4
 -2.7225850270357945E+00 a        65     0     6     1     5
